Bank Name,Number of Website Pages,Total Words(Master Text),Average Sentence Length(Master Text),Bog Index(Master Text),Number of StyleWriter Chunks(Master Text),Total Words(Refined Text),Average Sentence Length(Refined Text),Bog Index(Refined Text),Number of StyleWriter Chunks(Refined Text)
cent mtg co dba century lend,21,6831,12.9,55,1,6054,16.9,56,1
crosscountry mortgage inc,142,60656,11.9,57,1,50655,15.2,56,1
first community mortgage inc,103,21185,12.9,52,1,19320,16.3,56,1
home point financial corporation,647,109135,12.9,55,1,99275,15.6,56,1
homeamerican mortgage corp,8,5903,11,55,1,5239,15.6,56,1
iserve residential lending llc,154,37086,12,54,1,33615,16.6,56,1
mortgage management consultants inc,13,7208,10.8,54,1,6306,15.3,56,1
mann mortgage llc,166,19639,7.7,67,1,15502,14.3,57,1
siwell inc dba capital mortgage services of texas,10,4903,12.8,56,1,4380,16.8,57,1
united mortgage corporation,68,16051,12.8,55,1,13809,14.8,57,1
member first mortgage llc,41,18917,13.6,56,1,17671,17.3,58,1
midisland mortgage corp,122,29345,14.6,56,1,26550,17.4,58,1
provident funding,26,19400,13.4,55,1,18207,17.1,58,1
acopia capital group,20,5345,11.4,60,1,4838,15.6,59,1
land home financial services,42,25824,13.5,56,1,23742,16.9,59,1
network funding lp,161,18412,7.6,65,1,13813,14.3,59,1
reliance first capital llc,29,21668,15,55,1,20484,18.3,59,1
swbc mortgage corporation,24,5987,12.1,58,1,5443,14.6,59,1
wallick and volk inc,29,0,0,0,1,11204,15.8,59,1
ditech financial,214,101559,13,59,1,95062,15.6,60,1
mason mcduffie mortgage corp,72,15906,12.7,57,1,14437,17.5,60,1
new day financial llc,111,30781,13.3,60,1,28210,16.8,60,1
nova home loans,5892,139066,11.5,56,1,127444,16.4,60,1
stearns lending,48,21603,13.5,58,1,19590,17,60,1
amerihome mortgage,38,16777,12.4,58,1,15122,16.4,61,1
caliber funding,117,38370,12.1,59,1,34762,15.4,61,1
caliber home loans,117,38370,12.1,59,1,34762,15.4,61,1
cascade financial services,50,20399,12.6,61,1,19020,15.8,62,1
chicago mortgage solutions,1,104,7.4,62,1,82,13.7,62,1
rhode island housing and mortgage finance corporation,14,7066,9,58,1,5819,14,62,1
waterstone mortgage corp,78,21271,12.8,60,1,19494,15.6,62,1
mycumortgage llc,34,5640,11.2,62,1,4937,14.6,63,1
weststar mortgage inc,26,8639,11.6,61,1,7650,17,63,1
countryplace mortgage ltd,262,10682,11.2,63,1,9476,15.9,64,1
envoy mortgage ltd,2464,230187,5.775,84,4,221740.6667,7.966666667,64.66666667,3
roundpoint mortgage company,26,17397,11.7,61,1,15328,17.5,65,1
specialized loan servicing llc,77,26946,12,64,1,24391,15.7,65,1
alabama housing finance authority,284,53158,13.4,65,1,48025,17.2,66,1
hometrust mortgage company,3,709,4.5,95,1,456,11.1,66,1
selene finance lp,1,539,11.7,64,1,488,14.4,66,1
nfm inc,1271,262019,13.1,70,1,241747,15.9,67,1
platinum mortgage wholesale,3,906,6.8,71,1,464,12.5,67,1
the money house inc,71,23078,16.1,63,1,21553,20,67,1
truhome solutions llc,109,18016,13.8,63,1,16762,17.6,67,1
dovenmuehle mortgage inc,24,7720,11.2,67,1,6712,16.8,68,1
