Date & Time	Document	Draft	Total Words	Average Sentence	Passive Index	Style Index	Bog Index	Reading Grade	Jargon	Glue	Pep	Task	Audience	Author
01 Nov 2019 04:13	countryplace_mortgage_ltd_all.docx	Original	10682	11.2	16	63	63	11.2	1.6	36	17	General Writing	Public	john
01 Nov 2019 04:15	countryplace_mortgage_ltd_refined.docx	Original	9476	15.9	24	66	64	12.7	1.3	39	15	General Writing	Public	john
01 Nov 2019 04:17	crescent_mtg_co_all.docx	Original	2037	5.0	2	27	64	11.6	2.3	22	16	General Writing	Public	john
01 Nov 2019 04:18	crescent_mtg_co_refined.docx	Original	1310	10.6	7	35	49	11.9	1.8	31	14	General Writing	Public	john
01 Nov 2019 04:20	crosscountry_mortgage_inc_all.docx	Original	60656	11.9	11	49	57	11.5	2.5	35	15	General Writing	Public	john
01 Nov 2019 04:30	crosscountry_mortgage_inc_refined.docx	Original	50655	15.2	16	55	56	11.7	1.4	40	13	General Writing	Public	john
01 Nov 2019 04:37	crown_mortgage_company_all.docx	Original	692	9.7	8	31	22	7.4	0.7	37	19	General Writing	Public	john
01 Nov 2019 04:38	crown_mortgage_company_refined.docx	Original	591	16.4	17	35	20	8.4	0.3	42	16	General Writing	Public	john
01 Nov 2019 04:39	delmar_financial_company_all.docx	Original	8144	10.1	8	46	41	9.0	0.7	37	19	General Writing	Public	john
01 Nov 2019 04:40	delmar_financial_company_refined.docx	Original	7189	15.4	13	51	43	10.6	0.4	40	16	General Writing	Public	john
01 Nov 2019 04:43	dhi_mortgage_company_ltd_all.docx	Original	27024	7.8	4	44	90	13.1	2.7	24	19	General Writing	Public	john
01 Nov 2019 04:47	dhi_mortgage_company_ltd_refined.docx	Original	18543	16.5	12	58	69	14.3	1.2	34	20	General Writing	Public	john
01 Nov 2019 04:50	direct_mortgage_corp_all.docx	Original	512	10.0	6	33	42	11.2	1.8	37	20	General Writing	Public	john
01 Nov 2019 04:50	direct_mortgage_corp_refined.docx	Original	418	16.7	8	28	42	13.2	1.7	39	16	General Writing	Public	john
01 Nov 2019 04:54	ditech_financial_all.docx	Original	101559	13.0	13	58	59	11.4	1.1	38	15	General Writing	Public	john
01 Nov 2019 05:11	ditech_financial_refined.docx	Original	95062	15.6	16	58	60	12.2	1.0	39	14	General Writing	Public	john
01 Nov 2019 05:25	dovenmuehle_mortgage_inc_all.docx	Original	7720	11.2	12	64	67	12.7	1.5	31	17	General Writing	Public	john
01 Nov 2019 05:26	dovenmuehle_mortgage_inc_refined.docx	Original	6712	16.8	21	71	68	14.2	1.3	34	17	General Writing	Public	john
01 Nov 2019 05:41	draper_and_kramer_mortgage_corporation_all.docx	Original	320252	14.6	10	33	28	8.8	0.6	40	17	General Writing	Public	john
01 Nov 2019 06:33	draper_and_kramer_mortgage_corporation_refined.docx	Original	303510	16.8	12	34	31	9.6	0.5	41	15	General Writing	Public	john
01 Nov 2019 07:13	eagle_home_mortgage_inc_all.docx	Original	6228	10.3	9	44	41	9.2	0.9	38	18	General Writing	Public	john
01 Nov 2019 07:14	eagle_home_mortgage_inc_refined.docx	Original	5714	13.2	12	44	42	10.0	0.8	39	16	General Writing	Public	john
01 Nov 2019 07:50	embrace_home_loans_inc_all.docx	Original	585578	13.7	8	38	40	9.5	0.9	40	16	General Writing	Public	john
01 Nov 2019 09:25	embrace_home_loans_inc_refined.docx	Original	552774	16.1	10	39	40	10.1	0.6	41	15	General Writing	Public	john
01 Nov 2019 10:48	0_envoy_mortgage_ltd_all.docx	Original	349664	7.7	2	38	112	14.0	2.1	27	18	General Writing	Public	john
01 Nov 2019 11:47	1_envoy_mortgage_ltd_all.docx	Original	349596	7.7	2	39	112	14.0	2.0	27	18	General Writing	Public	john
01 Nov 2019 12:35	2_envoy_mortgage_ltd_all.docx	Original	221488	7.7	2	38	112	14.0	2.0	27	18	General Writing	Public	john
01 Nov 2019 13:19	0_envoy_mortgage_ltd_refined.docx	Original	349700	11.9	5	48	96	13.6	1.3	33	17	General Writing	Public	john
01 Nov 2019 14:15	1_envoy_mortgage_ltd_refined.docx	Original	315522	12.0	5	48	98	13.8	1.3	33	17	General Writing	Public	john
01 Nov 2019 14:53	equity_resources_inc_all.docx	Original	13528	10.4	8	54	48	9.1	2.7	36	18	General Writing	Public	john
01 Nov 2019 14:56	equity_resources_inc_refined.docx	Original	11795	13.2	11	57	47	9.6	2.4	39	15	General Writing	Public	john
01 Nov 2019 14:59	essex_mortgage_all.docx	Original	47673	14.6	9	38	39	9.7	0.7	41	14	General Writing	Public	john
